"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: iterations"
"algo.bench.ConnectedComponentsBenchmark.wccCount","avgt",1,10,54.253157,5.292181,"us/op",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.alloc.rate","avgt",1,10,315.360863,29.516540,"MB/sec",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.alloc.rate.norm","avgt",1,10,26862.615103,69.233399,"B/op",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Eden_Space","avgt",1,10,317.006767,168.738271,"MB/sec",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Eden_Space.norm","avgt",1,10,26941.200815,13858.399117,"B/op",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Survivor_Space","avgt",1,10,0.115129,0.287099,"MB/sec",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,10.379900,27.606514,"B/op",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.count","avgt",1,10,15.000000,NaN,"counts",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.time","avgt",1,10,231.000000,NaN,"ms",
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph","avgt",1,5,22.315294,3.974407,"us/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate","avgt",1,5,628.798929,107.696741,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate.norm","avgt",1,5,22040.084807,0.497840,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space","avgt",1,5,639.153579,47.215945,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space.norm","avgt",1,5,22450.094193,5264.154288,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space","avgt",1,5,0.129106,0.422051,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,4.537198,14.695331,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.count","avgt",1,5,15.000000,NaN,"counts",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.time","avgt",1,5,238.000000,NaN,"ms",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph","avgt",1,5,28.331928,6.107315,"us/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate","avgt",1,5,495.682105,106.795398,"MB/sec",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate.norm","avgt",1,5,22040.104312,0.670473,"B/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space","avgt",1,5,503.931627,433.341680,"MB/sec",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space.norm","avgt",1,5,22456.649848,19622.572453,"B/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space","avgt",1,5,0.072886,0.458904,"MB/sec",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,3.222838,20.428023,"B/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.count","avgt",1,5,12.000000,NaN,"counts",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.time","avgt",1,5,195.000000,NaN,"ms",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph","avgt",1,5,59.976883,8.959108,"us/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate","avgt",1,5,234.151791,33.575244,"MB/sec",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate.norm","avgt",1,5,22068.311268,149.139041,"B/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space","avgt",1,5,242.026797,356.899394,"MB/sec",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space.norm","avgt",1,5,22695.566142,31087.672778,"B/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space","avgt",1,5,0.002088,0.017982,"MB/sec",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,0.189976,1.635753,"B/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.count","avgt",1,5,6.000000,NaN,"counts",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.time","avgt",1,5,157.000000,NaN,"ms",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph","avgt",1,5,2.067176,0.102771,"us/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.alloc.rate","avgt",1,5,49.205823,2.441739,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.alloc.rate.norm","avgt",1,5,160.006579,0.045650,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.churn.PS_Eden_Space","avgt",1,5,68.236536,359.791557,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.churn.PS_Eden_Space.norm","avgt",1,5,224.901343,1185.856569,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.churn.PS_Survivor_Space","avgt",1,5,0.409516,3.349598,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1.344575,10.993273,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.count","avgt",1,5,2.000000,NaN,"counts",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.time","avgt",1,5,21.000000,NaN,"ms",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph","avgt",1,5,7.559012,0.392593,"us/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.alloc.rate","avgt",1,5,13.458011,0.689568,"MB/sec",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.alloc.rate.norm","avgt",1,5,160.024540,0.171947,"B/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.count","avgt",1,5,0.000000,NaN,"counts",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph","avgt",1,5,37.274853,3.330220,"us/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.alloc.rate","avgt",1,5,2.731439,0.248295,"MB/sec",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.alloc.rate.norm","avgt",1,5,160.117713,0.820182,"B/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.count","avgt",1,5,0.000000,NaN,"counts",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph","avgt",1,5,35.910933,5.615800,"us/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.alloc.rate","avgt",1,5,900.866074,138.735847,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.alloc.rate.norm","avgt",1,5,50832.111776,0.780255,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Eden_Space","avgt",1,5,880.021866,48.601878,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Eden_Space.norm","avgt",1,5,49730.857638,9310.426743,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Survivor_Space","avgt",1,5,0.062468,0.126775,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,3.553332,7.456245,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.count","avgt",1,5,20.000000,NaN,"counts",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.time","avgt",1,5,455.000000,NaN,"ms",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph","avgt",1,5,57.155067,12.566276,"us/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.alloc.rate","avgt",1,5,565.992363,120.765470,"MB/sec",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.alloc.rate.norm","avgt",1,5,50832.950835,7.656036,"B/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Eden_Space","avgt",1,5,561.648642,463.352974,"MB/sec",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Eden_Space.norm","avgt",1,5,50244.837631,36232.122443,"B/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Survivor_Space","avgt",1,5,0.016627,0.067009,"MB/sec",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1.475504,6.126923,"B/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.count","avgt",1,5,13.000000,NaN,"counts",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.time","avgt",1,5,277.000000,NaN,"ms",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph","avgt",1,5,45.213643,3.821893,"us/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.alloc.rate","avgt",1,5,717.360034,59.194694,"MB/sec",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.alloc.rate.norm","avgt",1,5,50839.793526,66.625681,"B/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Eden_Space","avgt",1,5,729.725282,430.689810,"MB/sec",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Eden_Space.norm","avgt",1,5,51658.428211,28141.049754,"B/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Survivor_Space","avgt",1,5,0.074546,0.269922,"MB/sec",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,5.328999,19.599371,"B/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.count","avgt",1,5,17.000000,NaN,"counts",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._03_heavyGraph:·gc.time","avgt",1,5,311.000000,NaN,"ms",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._04_heavyGraphReuseGraph","avgt",1,5,0.639139,0.095817,"us/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._04_heavyGraphReuseGraph:·gc.alloc.rate","avgt",1,5,159.299962,23.548795,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._04_heavyGraphReuseGraph:·gc.alloc.rate.norm","avgt",1,5,160.002036,0.014289,"B/op",5
