"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: iterations"
"algo.bench.ConnectedComponentsBenchmark.wccCount","avgt",1,10,51.023850,1.306902,"us/op",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.alloc.rate","avgt",1,10,317.130374,9.075741,"MB/sec",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.alloc.rate.norm","avgt",1,10,25494.727280,69.807881,"B/op",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Eden_Space","avgt",1,10,316.997808,168.068471,"MB/sec",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Eden_Space.norm","avgt",1,10,25504.752079,13580.666954,"B/op",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Survivor_Space","avgt",1,10,0.093714,0.298802,"MB/sec",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,7.450048,23.612395,"B/op",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.count","avgt",1,10,15.000000,NaN,"counts",
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.time","avgt",1,10,138.000000,NaN,"ms",
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph","avgt",1,5,30.742498,37.477166,"us/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate","avgt",1,5,457.746258,527.808976,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate.norm","avgt",1,5,20480.029736,0.023278,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space","avgt",1,5,465.159708,681.772029,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space.norm","avgt",1,5,20616.931065,19033.652186,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space","avgt",1,5,0.093699,0.335476,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,3.703126,9.758694,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.count","avgt",1,5,11.000000,NaN,"counts",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.time","avgt",1,5,259.000000,NaN,"ms",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph","avgt",1,5,40.361586,51.870815,"us/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate","avgt",1,5,348.907661,369.294268,"MB/sec",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate.norm","avgt",1,5,20480.034990,0.030923,"B/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space","avgt",1,5,370.283425,360.763663,"MB/sec",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space.norm","avgt",1,5,21953.477370,13706.353503,"B/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space","avgt",1,5,0.068462,0.194501,"MB/sec",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,4.070164,8.997775,"B/op",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.count","avgt",1,5,9.000000,NaN,"counts",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.time","avgt",1,5,296.000000,NaN,"ms",20
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph","avgt",1,5,80.115330,86.947228,"us/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate","avgt",1,5,174.487970,201.924020,"MB/sec",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.alloc.rate.norm","avgt",1,5,20520.809319,154.200714,"B/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space","avgt",1,5,160.203682,344.884497,"MB/sec",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Eden_Space.norm","avgt",1,5,19782.925613,50165.390326,"B/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space","avgt",1,5,0.018740,0.161358,"MB/sec",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,3.149092,27.114636,"B/op",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.count","avgt",1,5,4.000000,NaN,"counts",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._01_lightGraph:·gc.time","avgt",1,5,230.000000,NaN,"ms",100
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph","avgt",1,5,1.747142,0.424150,"us/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.alloc.rate","avgt",1,5,105.090912,25.243984,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.alloc.rate.norm","avgt",1,5,288.001009,0.000543,"B/op",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.churn.PS_Eden_Space","avgt",1,5,112.858434,398.862487,"MB/sec",5
"org.neo4j.graphalgo.bench.PageRankBenchmark._02_lightGraphReuseGraph:·gc.churn.PS_Eden_Space.norm","avgt",1,5,321.469380,1134.079463,"B/op",5
