"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: concurrency","Param: impl","Param: iterations"
"algo.bench.ConnectedComponentsBenchmark.wccCount","avgt",1,10,110.828782,33.232707,"us/op",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.alloc.rate","avgt",1,10,157.361589,46.638365,"MB/sec",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.alloc.rate.norm","avgt",1,10,26656.171010,113.285782,"B/op",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Eden_Space","avgt",1,10,136.395322,434.729454,"MB/sec",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Eden_Space.norm","avgt",1,10,25130.916062,80649.485613,"B/op",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Survivor_Space","avgt",1,10,0.430157,1.980378,"MB/sec",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,71.469373,326.233405,"B/op",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.count","avgt",1,10,2.000000,NaN,"counts",,,
"algo.bench.ConnectedComponentsBenchmark.wccCount:·gc.time","avgt",1,10,49.000000,NaN,"ms",,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,6234877.565800,793211.687876,"us/op",0,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,12.791871,1.704662,"MB/sec",0,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,90771723.200000,5209160.512149,"B/op",0,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",0,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,7826872.705600,1514822.989541,"us/op",1,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,8.552766,14.669783,"MB/sec",1,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,73949590.400000,123809348.527681,"B/op",1,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",1,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,3889509.008800,1270377.490137,"us/op",2,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,16.479122,28.869198,"MB/sec",2,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,75050128.000000,125800001.887827,"B/op",2,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",2,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,2236981.278800,579194.607267,"us/op",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,26.299680,44.468886,"MB/sec",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,77246988.800000,129802115.041986,"B/op",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space","avgt",1,5,71.946937,619.484824,"MB/sec",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space.norm","avgt",1,5,214748364.800000,1849048185.036073,"B/op",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,1.000000,NaN,"counts",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.time","avgt",1,5,140.000000,NaN,"ms",4,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,1378506.980000,620718.555485,"us/op",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,42.313823,75.942807,"MB/sec",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,81633160.000000,137766071.298066,"B/op",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space","avgt",1,5,93.418411,804.360691,"MB/sec",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.churn.PS_Eden_Space.norm","avgt",1,5,214748364.800000,1849048185.036073,"B/op",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,1.000000,NaN,"counts",8,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.time","avgt",1,5,131.000000,NaN,"ms",8,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential","avgt",1,5,898.604744,792.091929,"us/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.alloc.rate","avgt",1,5,2341.055199,1716.430466,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.alloc.rate.norm","avgt",1,5,3276351.164386,4671.382369,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Eden_Space","avgt",1,5,2391.165848,1519.894816,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Eden_Space.norm","avgt",1,5,3363053.567605,751309.467598,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Survivor_Space","avgt",1,5,0.789794,1.593294,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1141.957716,2394.019905,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.count","avgt",1,5,14.000000,NaN,"counts",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._01_multistepSCCsequential:·gc.time","avgt",1,5,755.000000,NaN,"ms",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel","avgt",1,5,1214.912844,1816.464798,"us/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.alloc.rate","avgt",1,5,1907.074269,3025.844496,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.alloc.rate.norm","avgt",1,5,3277009.999258,10344.764919,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Eden_Space","avgt",1,5,2041.621319,3080.433426,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Eden_Space.norm","avgt",1,5,3654678.653680,4674277.590311,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Survivor_Space","avgt",1,5,0.661285,2.287230,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.churn.PS_Survivor_Space.norm","avgt",1,5,1411.448444,6808.812924,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.count","avgt",1,5,12.000000,NaN,"counts",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._02_multistepSCCparallel:·gc.time","avgt",1,5,567.000000,NaN,"ms",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan","avgt",1,5,733.171384,454.006965,"us/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.alloc.rate","avgt",1,5,2797.973161,1446.981300,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.alloc.rate.norm","avgt",1,5,3276201.889909,3387.307204,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.churn.PS_Eden_Space","avgt",1,5,2876.155470,1460.694315,"MB/sec",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.churn.PS_Eden_Space.norm","avgt",1,5,3374021.430068,737567.571618,"B/op",,,
"org.neo4j.graphalgo.bench.MultistepSCCBenchmark._03_multistepSCCtarjan:·gc.churn.PS_Survivor_Space","avgt",1,5,0.890307,1.455467,"MB/sec",,,
