"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: concurrency","Param: impl","Param: iterations","Param: nodeCount","Param: sourceCount"
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP","avgt",1,10,17034.691825,356.190126,"ms/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.alloc.rate","avgt",1,10,35.714534,17.419718,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.alloc.rate.norm","avgt",1,10,658769201.600000,322154702.035924,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Eden_Space","avgt",1,10,45.730159,59.519397,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Eden_Space.norm","avgt",1,10,838913228.800000,1091594474.174502,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Survivor_Space","avgt",1,10,0.000472,0.001176,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,8607.200000,21425.716550,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.count","avgt",1,10,6.000000,NaN,"counts",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.time","avgt",1,10,37.000000,NaN,"ms",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP","avgt",1,10,461.186794,41.809152,"ms/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.alloc.rate","avgt",1,10,288.246908,149.325476,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.alloc.rate.norm","avgt",1,10,192101804.133333,97841887.582538,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Eden_Space","avgt",1,10,295.006646,581.125228,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Eden_Space.norm","avgt",1,10,209601604.266667,421529716.763093,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Survivor_Space","avgt",1,10,0.005937,0.019328,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,4006.400000,13030.729604,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.count","avgt",1,10,4.000000,NaN,"counts",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.time","avgt",1,10,26.000000,NaN,"ms",,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,2832774.600400,396231.941260,"us/op",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,22.393306,2.900732,"MB/sec",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,78634278.400000,5048929.337824,"B/op",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,5060091.066400,1180116.218980,"us/op",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,10.410605,20.808900,"MB/sec",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,61761324.800000,123897084.916646,"B/op",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,3666348.807800,94610.804791,"us/op",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,14.411569,28.919307,"MB/sec",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,62860649.600000,125894512.394901,"B/op",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,3548120.476400,102986.573266,"us/op",4,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,14.870694,29.657698,"MB/sec",4,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,63203856.000000,125895025.566590,"B/op",4,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",4,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,4251992.873400,92654.546109,"us/op",8,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,12.832634,25.332569,"MB/sec",8,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,63890286.400000,125896399.730399,"B/op",8,,,,
