"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: concurrency","Param: impl","Param: iterations","Param: nodeCount","Param: sourceCount"
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP","avgt",1,10,10797.999638,912.844300,"ms/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.alloc.rate","avgt",1,10,52.122817,27.572318,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.alloc.rate.norm","avgt",1,10,617438778.400000,322302015.298024,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Eden_Space","avgt",1,10,59.943416,95.710924,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Eden_Space.norm","avgt",1,10,694786457.600000,1107239135.081848,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Survivor_Space","avgt",1,10,0.119576,0.384053,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,1324203.200000,4189167.312607,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.count","avgt",1,10,5.000000,NaN,"counts",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.time","avgt",1,10,518.000000,NaN,"ms",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP","avgt",1,10,701.287934,501.455330,"ms/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.alloc.rate","avgt",1,10,190.896513,126.957090,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.alloc.rate.norm","avgt",1,10,182164040.000000,96767886.741510,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Eden_Space","avgt",1,10,161.228771,393.883418,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Eden_Space.norm","avgt",1,10,234356736.000000,598393205.436216,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Survivor_Space","avgt",1,10,1.580518,5.046776,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,1800566.400000,5774448.102762,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.count","avgt",1,10,3.000000,NaN,"counts",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.time","avgt",1,10,1561.000000,NaN,"ms",,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,5582124.625000,1462725.995605,"us/op",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,12.269651,3.014795,"MB/sec",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,78657534.400000,5239547.112838,"B/op",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,8136858.095200,1268508.540770,"us/op",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,6.864900,13.855844,"MB/sec",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,61773798.400000,123777696.909900,"B/op",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,4225513.410200,1038124.327158,"us/op",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,12.673550,25.616522,"MB/sec",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,62875024.000000,125777529.081530,"B/op",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,2346565.064400,403064.983914,"us/op",4,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,21.859114,44.085605,"MB/sec",4,,,,
