"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: concurrency","Param: impl","Param: iterations","Param: nodeCount","Param: sourceCount"
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP","avgt",1,10,8753.166295,1085.666162,"ms/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.alloc.rate","avgt",1,10,63.894476,34.308978,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.alloc.rate.norm","avgt",1,10,611687641.600000,319806433.682108,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Eden_Space","avgt",1,10,74.144009,118.602038,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Eden_Space.norm","avgt",1,10,696359321.600000,1109744386.066593,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Survivor_Space","avgt",1,10,0.012080,0.053619,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,105004.000000,460531.116481,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.count","avgt",1,10,5.000000,NaN,"counts",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.time","avgt",1,10,666.000000,NaN,"ms",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP","avgt",1,10,605.737284,107.176587,"ms/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.alloc.rate","avgt",1,10,203.515964,111.274126,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.alloc.rate.norm","avgt",1,10,182026686.400000,96694225.496529,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Eden_Space","avgt",1,10,193.689722,474.543939,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Eden_Space.norm","avgt",1,10,191679692.800000,470842961.338051,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Survivor_Space","avgt",1,10,0.287307,0.924773,"MB/sec",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,290489.600000,945279.002628,"B/op",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.count","avgt",1,10,3.000000,NaN,"counts",,,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.time","avgt",1,10,504.000000,NaN,"ms",,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,6747873.416000,781214.280712,"us/op",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,10.304525,1.132959,"MB/sec",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,78660224.000000,5258107.087851,"B/op",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",0,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,7383574.936600,1247917.945043,"us/op",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,7.558737,15.272713,"MB/sec",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,61776036.800000,123759956.246572,"B/op",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",1,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,4105938.987600,365938.547975,"us/op",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,13.038126,26.200343,"MB/sec",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,62877387.200000,125760487.672091,"B/op",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",2,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,2529710.890200,709420.358593,"us/op",4,,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,19.984632,39.731943,"MB/sec",4,,,,
