"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: concurrency","Param: impl","Param: iterations","Param: source"
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP","avgt",1,10,4664.805472,525.775412,"ms/op",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.alloc.rate","avgt",1,10,113.310228,61.201849,"MB/sec",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.alloc.rate.norm","avgt",1,10,609580905.600000,322003408.056859,"B/op",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Eden_Space","avgt",1,10,122.518801,195.478318,"MB/sec",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Eden_Space.norm","avgt",1,10,695730176.000000,1108741907.173857,"B/op",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Survivor_Space","avgt",1,10,0.076989,0.368077,"MB/sec",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,431768.000000,2064245.065402,"B/op",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.count","avgt",1,10,5.000000,NaN,"counts",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._01_benchmark_ASP:·gc.time","avgt",1,10,284.000000,NaN,"ms",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP","avgt",1,10,713.767257,100.458751,"ms/op",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.alloc.rate","avgt",1,10,181.391474,98.549286,"MB/sec",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.alloc.rate.norm","avgt",1,10,182365650.400000,96757019.870026,"B/op",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Eden_Space","avgt",1,10,177.149186,435.886135,"MB/sec",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Eden_Space.norm","avgt",1,10,192361267.200000,472676265.086087,"B/op",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Survivor_Space","avgt",1,10,0.229069,0.851642,"MB/sec",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.churn.PS_Survivor_Space.norm","avgt",1,10,250157.200000,928402.540628,"B/op",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.count","avgt",1,10,3.000000,NaN,"counts",,,,
"org.neo4j.graphalgo.bench.AllShortestPathsComparisionBenchmark._03_benchmark_MS_ASP:·gc.time","avgt",1,10,239.000000,NaN,"ms",,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,5485965.726800,1549341.898310,"us/op",0,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,12.542410,3.357806,"MB/sec",0,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,78623128.000000,5186608.758915,"B/op",0,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",0,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,4025656.319000,2520504.148638,"us/op",1,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,16.731287,8.078933,"MB/sec",1,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,78623006.400000,5186853.172083,"B/op",1,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",1,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,1755499.634400,90067.387563,"us/op",2,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate","avgt",1,5,26.532944,53.136499,"MB/sec",2,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.alloc.rate.norm","avgt",1,5,62929600.000000,125877994.251391,"B/op",2,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark:·gc.count","avgt",1,5,0.000000,NaN,"counts",2,,,
"org.neo4j.graphalgo.bench.BetweennessCentralityBenchmark._01_benchmark","avgt",1,5,967550.827500,169354.826729,"us/op",4,,,
